⚠ `eslint` configuration in next.config.ts is no longer supported. See more info here: https://nextjs.org/docs/app/api-reference/cli/next#next-lint-options
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'eslint'
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://21.0.9.216:3000
- Environments: .env

✓ Starting...
✓ Ready in 858ms
 GET /api/telegram/activity?limit=30 200 in 4ms (compile: 2ms, render: 1673µs)
 GET /api/automation/rules 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/profile 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/crm/stats 200 in 13ms (compile: 12ms, render: 1738µs)
 GET /api/applications 200 in 3ms (compile: 1112µs, render: 1801µs)
 GET /api/telegram/activity?limit=30 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/bot/data 200 in 3ms (compile: 1130µs, render: 1958µs)
 GET /api/telegram/stats 200 in 4ms (compile: 1528µs, render: 2ms)
 GET /api/telegram/users 200 in 3ms (compile: 912µs, render: 1618µs)
 GET /api/jobs/summary?hours=24 200 in 3ms (compile: 1423µs, render: 1613µs)
 GET /api/automation/rules 200 in 5ms (compile: 4ms, render: 1761µs)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 1686µs)
 GET /api/applications 200 in 7ms (compile: 4ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 5ms (compile: 3ms, render: 1927µs)
 GET /api/telegram/users 200 in 7ms (compile: 5ms, render: 1835µs)
 GET /api/bot/data 200 in 7ms (compile: 5ms, render: 1819µs)
 GET /api/telegram/stats 200 in 4ms (compile: 1645µs, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/crm/stats 200 in 7ms (compile: 5ms, render: 1890µs)
 GET /api/automation/rules 200 in 10ms (compile: 8ms, render: 1750µs)
 GET /api/profile 200 in 3ms (compile: 1096µs, render: 1732µs)
 GET /api/crm/stats 200 in 3ms (compile: 1583µs, render: 1580µs)
 GET /api/telegram/activity?limit=30 200 in 5ms (compile: 4ms, render: 1801µs)
 GET /api/bot/data 200 in 9ms (compile: 6ms, render: 2ms)
 GET /api/telegram/stats 200 in 11ms (compile: 10ms, render: 1744µs)
